Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly)
0417090000,227.459040623,29.466195267800003,42.2589765561,1.4971403596500001,37.1018798503,116.47615598899999
0417100000,228.374872384,29.7296590909,43.5623171911,0.845614404928,37.1018798503,116.47615598899999
0417110000,227.975957831,30.167540325900003,43.354532471800006,0.216323128492,37.1018798503,116.47615598899999
0417120000,216.734595498,30.525320432399997,44.0135616263,0.0,37.1018798503,104.43494719799999
0417130000,229.816730817,30.881567789400002,44.697623566400004,0.0,37.1018798503,116.47615598899999
0417140000,227.27207709200002,31.028359362,42.0064103273,0.0,37.1018798503,116.47615598899999
0417150000,224.86813237200002,31.1715550089,39.459471195300004,0.0,37.1018798503,116.47615598899999
0417160000,226.933113726,31.303420827300002,41.3931221179,0.0,37.1018798503,116.47615598899999
0417170000,225.307611496,31.142861598200003,39.9293644162,0.0,37.1018798503,116.47615598899999
0417180000,131.341243105,27.994300522600003,30.3773264871,0.0,24.7345865669,47.5788473902
0417190000,136.164039969,28.432132970700003,27.7147861489,0.0,24.7345865669,47.5788473902
0417200000,120.06921228200001,27.5555425168,26.7059821489,0.0,12.367293283399999,38.6892022431
0417210000,83.60620843630001,15.747671557,13.9794498661,0.0,12.367293283399999,27.0668015668
0417220000,70.7093596975,19.0260342081,17.0182704719,0.0,4.1224310944800004,15.988889478900001
0417230000,63.9652536184,15.746230203,13.641336443399998,0.0,4.1224310944800004,15.988889478900001
0417240000,76.24228771029999,22.524876174499997,18.9649884021,0.0,4.1224310944800004,15.988889478900001
0418010000,67.2404188877,17.9322857551,14.6649200762,0.0,4.1224310944800004,15.988889478900001
0418020000,74.2352696445,21.867762290300004,17.6150842062,0.0,4.1224310944800004,15.988889478900001
0418030000,68.8019404649,18.3703616779,15.4889000304,0.299465790007,4.1224310944800004,15.988889478900001
0418040000,103.785269238,27.9936184396,23.2060544964,0.526615689453,12.367293283399999,24.9413748627
0418050000,117.81607585,28.0888884466,25.0227001389,12.6455067378,12.367293283399999,24.9413748627
0418060000,168.223762749,29.003377333000003,24.5588007296,11.504623231199998,24.7345865669,70.7195625826
0418070000,191.26081327,29.2463694023,24.1857443228,7.6769468426300005,37.1018798503,92.3937384068
0418080000,202.84046115599998,29.3359326816,25.1231546241,6.1863108562599995,37.1018798503,104.43494719799999
0418090000,215.600358172,29.408194062600003,27.365965705500003,4.5894668138,37.1018798503,116.47615598899999
0418100000,214.221578904,29.5036707039,27.981868004099997,2.49875606193,37.1018798503,116.47615598899999
0418110000,214.27990521700002,29.6663520945,29.3810840887,0.994930653357,37.1018798503,116.47615598899999
0418120000,208.239109701,30.0039710036,35.670742894499995,0.368656389123,37.1018798503,104.43494719799999
0418130000,221.47264031400002,30.4030847752,36.8044163122,0.0276252577954,37.1018798503,116.47615598899999
0418140000,224.501027934,30.7737295771,39.4899656335,0.0,37.1018798503,116.47615598899999
0418150000,227.766165931,31.122900030100002,42.4061811451,0.0,37.1018798503,116.47615598899999
0418160000,227.27158993700002,31.2101403327,41.824872449000004,0.0,37.1018798503,116.47615598899999
0418170000,228.481063098,31.2932881654,42.9523792155,0.0,37.1018798503,116.47615598899999
0418180000,135.635578999,28.169164585300003,34.4968027265,0.0,24.7345865669,47.5788473902
0418190000,136.970441994,27.993957689899997,28.9593688433,0.0,24.7345865669,47.5788473902
0418200000,118.689171164,28.139643747199997,24.7418455585,0.0,12.367293283399999,38.6892022431
0418210000,82.7162376073,15.747671557,13.089482312000001,0.0,12.367293283399999,27.0668015668
0418220000,72.5162936531,20.3826282148,17.4467687335,0.0,4.1224310944800004,15.988889478900001
0418230000,60.8570834327,13.995367865799999,12.3058709419,0.0,4.1224310944800004,15.988889478900001
0418240000,76.566023577,22.9629520973,18.8466597229,0.00398895350582,4.1224310944800004,15.988889478900001
0419010000,66.5951256412,17.4942098323,14.457703083699998,0.0,4.1224310944800004,15.988889478900001
0419020000,73.92904724729999,22.0868002517,17.0808690349,0.0089551182746,4.1224310944800004,15.988889478900001
0419030000,68.2227775793,18.3703616779,14.706144299000002,0.503058809242,4.1224310944800004,15.988889478900001
0419040000,102.804709445,27.964413378099998,22.0832816127,0.698033880263,12.367293283399999,24.9413748627
0419050000,118.69499828,28.074300439800002,24.2303389541,14.331378271300002,12.367293283399999,24.9413748627
0419060000,168.936327104,29.074293921,24.1740646037,12.531006978499999,24.7345865669,70.7195625826
0419070000,191.369958922,29.3183346435,25.474819853699998,6.425052526699999,37.1018798503,92.3937384068
0419080000,203.580093274,29.4139992521,28.437474810700003,3.5335729329300003,37.1018798503,104.43494719799999
0419090000,214.889953761,29.514706978400003,28.8207320075,2.3178055576900003,37.1018798503,116.47615598899999
0419100000,217.050541297,29.743767102600003,31.801545798600003,1.26791588081,37.1018798503,116.47615598899999
0419110000,217.03313055200002,29.9780237208,32.1091244435,0.70847106266,37.1018798503,116.47615598899999
0419120000,205.13680632,30.271643399899997,32.4591622497,0.210233974095,37.1018798503,104.43494719799999
0419130000,222.42444202299998,30.6689134078,37.5083133511,0.00972491203139,37.1018798503,116.47615598899999
0419140000,225.05601157099997,31.0693085695,39.7493519625,0.0,37.1018798503,116.47615598899999
0419150000,226.183323176,31.3891669871,40.5570853892,0.0,37.1018798503,116.47615598899999
0419160000,226.751819658,31.5590065973,40.9562572797,0.0,37.1018798503,116.47615598899999
0419170000,224.986925152,31.5496439261,39.201854636,0.0,37.1018798503,116.47615598899999
0419180000,130.981188592,28.169331746999998,29.842245765100003,0.0,24.7345865669,47.5788473902
0419190000,133.739786643,27.9942471075,25.7284283612,0.0,24.7345865669,47.5788473902
0419200000,117.72455096200001,28.1397500029,23.77712467,0.0,12.367293283399999,38.6892022431
0419210000,82.2522459992,15.455620941800001,12.9175446432,0.0,12.367293283399999,27.0668015668
0419220000,71.3533874309,20.3388206225,16.3276704413,0.0,4.1224310944800004,15.988889478900001
0419230000,61.324505533199996,14.871519711400001,11.891217839600001,0.0059236957272499995,4.1224310944800004,15.988889478900001
0419240000,75.4909289035,22.3058382131,18.4326682266,0.0,4.1224310944800004,15.988889478900001
0420010000,67.5065468988,17.757055385999998,15.106279128199999,0.0,4.1224310944800004,15.988889478900001
